Pada, Artha1, Parva, Sandhi_no, Padya1
ಅಂತ್ಯವರ್ಣ, ಶೂದ್ರ, ಆದಿ ಪರ್ವ,16,24
ಅಂದಗೆಡಿಸದೆ, ವಿರೂಪಗೊಳಿಸದೆ, ಆದಿ ಪರ್ವ,8,20
ಅಂದಗೆಡಿಸು, ವಿರೂಪಗೊಳಿಸು, ಆದಿ ಪರ್ವ,8,54
ಅಂದವಳಿಯದೆ, ಲಕ್ಷಣವು ಹಾಳಾಗದೆ., ಗದಾ ಪರ್ವ,4,7
ಅಂಧತಿಮಿರ, ಕುರುಡುಗತ್ತಲೆ, ಗದಾ ಪರ್ವ,10,13
ಅಂಧನೃಪ, ಕುರುಡರಾಜ, ದ್ರೋಣ ಪರ್ವ,1,8
ಅಂಬನು, ಬಾಣವನ್ನು, ದ್ರೋಣ ಪರ್ವ,3,21
ಅಂಬರ, ರೇಷ್ಮೆಯ ಬಟ್ಟೆ, ಗದಾ ಪರ್ವ,4,53
ಅಂಬರಸರಸಿ, ಗಗನ ಸರೋವರ, ಭೀಷ್ಮ ಪರ್ವ,5,22
ಅಂಬಿನಲಿ, ಬಾಣಗಳಿಂದ, ಸಭಾ ಪರ್ವ,1,63
ಅಂಬಿನಹೊರಳಿ, ಬಾಣ ಸಮೂಹ, ಭೀಷ್ಮ ಪರ್ವ,10,4
ಅಂಬು, ಬಾಣ., ಭೀಷ್ಮ ಪರ್ವ,3,8
ಅಂಬುಜ ಪಾಣಿ, ಕಮಲವನ್ನು ಕೈಯಲ್ಲಿ ಹಿಡಿದಿರುವವನು, ದ್ರೋಣ ಪರ್ವ,4,6
ಅಂಬುಜಭವ, ಕಮಲದಲ್ಲಿ ಹುಟ್ಟಿದವನು, ಆದಿ ಪರ್ವ,15,27
ಅಂಬುಜಾಂಬಕಯುಗಳ, ಕಮಲದಂತಹ ಎರಡು ಕಣ್ಣುಗಳುಳ್ಳ ್ಣ, ಭೀಷ್ಮ ಪರ್ವ,6,28
ಅಂಭೋಜ ಮುಖಿ, ತಾವರೆಯ ಮುಖದ (ದ್ರೌಪದಿ), ವಿರಾಟ ಪರ್ವ,3,98
ಅಂಭೋದಿ, ಸಮುದ್ರ., ಉದ್ಯೋಗ ಪರ್ವ,8,5
ಅಂಭೋರುಹಾಕ್ಷಿ, ತಾವರೆಯಂತೆ ಕಣ್ಣುಳ್ಳವಳು , ಗದಾ ಪರ್ವ,11,4
ಅಕಟ, ಅಯ್ಯೋ, ಸಭಾ ಪರ್ವ,3,7
ಅಕಾಲ, ಕಾಲವಲ್ಲದ ಕಾಲ, ಆದಿ ಪರ್ವ,8,43
ಅಕುಟಿಲ, ಪ್ರಾಮಾಣಿಕ, ಆದಿ ಪರ್ವ,10,0
ಅಕುಟಿಲರು, ಮೋಸ ಅರಿಯದವರು, ಸಭಾ ಪರ್ವ,14,92
ಅಕೃತ್ಯಶತ, ನೂರುಕೇಡು, ಉದ್ಯೋಗ ಪರ್ವ,3,122
ಅಕ್ಕಜ, ಬೆರಗು, ಆದಿ ಪರ್ವ,13,58
ಅಕ್ಕಜ, ಮಾತ್ಸರ್ಯ, ಕರ್ಣ ಪರ್ವ,19,50
ಅಕ್ಕಜ, ಆಶ್ಚರ್ಯ(ಸಂ) ಕಿಚ್ಚು, ಗದಾ ಪರ್ವ,8,50
ಅಕ್ಕಡ, ಅಖಾಡ, ಕರ್ಣ ಪರ್ವ,19,41
ಅಕ್ಕಾಡಿದವು, ನಾಟಿದವು (ಅಳ್ಕಾಡಿದವು, ಭೀಷ್ಮ ಪರ್ವ,6,23
ಅಕ್ಕಾಡು, ಪೂರ್ತಿನಷ್ಟವಾಗು, ಕರ್ಣ ಪರ್ವ,24,3
ಅಕ್ಕಾಡು, ಅಳ್ಳಾಡು, ಗದಾ ಪರ್ವ,1,63, , , A4C9C9B7D5BA, , , , , , , , , , 
ಅಕ್ಕಾಡು, ಜೀರ್ಣವಾಗು ನಾಶವಾಗು, ದ್ರೋಣ ಪರ್ವ,10,54
ಅಕ್ಕು, ಲಯವಾಗು, ದ್ರೋಣ ಪರ್ವ,15,24
ಅಕ್ಕುಡಿಸು, ಹಿಮ್ಮೆಟ್ಟಿಸು, ಶಲ್ಯ ಪರ್ವ,3,8
ಅಕ್ಕುಡಿಸು, ಕುಗ್ಗು, ಕರ್ಣ ಪರ್ವ,24,42
ಅಕ್ಕುವುದೇ, ಜೀರ್ಣವಾಗುದೇ ? ಬಲುಹು, ಸಭಾ ಪರ್ವ,13,71
ಅಕ್ಕೆಯ, ಅಳಲಿನ, ಭೀಷ್ಮ ಪರ್ವ,3,82
ಅಕ್ರೋಧಿ, ಸಿಟ್ಟಿಲ್ಲದ, ಉದ್ಯೋಗ ಪರ್ವ,3,87
ಅಕ್ಷ, ಪಗಡೆ, ಅರಣ್ಯ ಪರ್ವ,17,11
ಅಕ್ಷ ಧೂರ್ತರು, ಪಗಡೆಯಲ್ಲಿ ವಂಚಕರು, ಸಭಾ ಪರ್ವ,12,90
ಅಕ್ಷಮರು, ಅಸಮರ್ಥರು, ವಿರಾಟ ಪರ್ವ,3,33
ಅಕ್ಷಮಾಲೆ, ಜಪಮಾಲೆ, ಅರಣ್ಯ ಪರ್ವ,5,15
ಅಕ್ಷಯಶರ ನಿಷಂಗ, ಎಂದೆಂದಿಗೂ ವ್ಯಯವಾಗದ ಬಾಣಗಳುಳ್ಳ ಬತ್ತಳಿಕೆ., ಆದಿ ಪರ್ವ,20,20
ಅಕ್ಷೀಣ, ಕಡಿಮೆಯಾಗದ, ದ್ರೋಣ ಪರ್ವ,5,57
ಅಕ್ಷೀಣ, ಕ್ಷೀಣಿಸದ, ಸಭಾ ಪರ್ವ,12,7
ಅಕ್ಷೀಣದುರಿತರು, ಪಾಪಿಗಳು, ದ್ರೋಣ ಪರ್ವ,4,6
ಅಕ್ಷೋಹಿಣಿ, ಇಲ್ಲಿ ಅಪಾರ ಸಂಖ್ಯೆಯ ಸೈನ್ಯ., ಸಭಾ ಪರ್ವ,2,52
ಅಕ್ಷೋಹಿಣಿ, ಕ್ಷೋಣಿ 17 ಅಂಕಿಗಳನ್ನೊಳಗೊಂಡ ಸಂಖ್ಯೆಯ (ಸೇನೆ)?, ಭೀಷ್ಮ ಪರ್ವ,2,21
ಅಕ್ಷೋಹಿಣಿ: ಗದಾಪರ್ವದ 2 ಸಂಧಿಯ 8ನೆಯ, ಪದ್ಯದ ಟಿಪ್ಪಣಿಯನ್ನು ನೋಡಿ. ನಾರೀನಿಕರ, ಗದಾ ಪರ್ವ,9,41
ಅಖಂಡ, ಪೂರ್ಣ, ಆದಿ ಪರ್ವ,6,39
ಅಖಂಡ, ಚ್ಯುತಿಯಿಲ್ಲದ, ಶಲ್ಯ ಪರ್ವ,2,0
ಅಖಿನ್ನ, ದುಃಖರಹಿತ, ಸಭಾ ಪರ್ವ,1,67
ಅಖಿಳ ರಾಜಾವಳಿಗಳ, ಸಮಸ್ತರಾಜರ, ಸಭಾ ಪರ್ವ,1,4
ಅಖಿಳಾಮ್ನಾಯ, ಸಮಸ್ತ ವೇದಗಳು, ಸಭಾ ಪರ್ವ,6,21
ಅಖ್ಖುಡಿಸು, ಹೆದರು, ಕರ್ಣ ಪರ್ವ,26,10
ಅಖ್ಯಾತಿ, ಅಪಖ್ಯಾತಿ, ಆದಿ ಪರ್ವ,8,74
ಅಗಡಾಗು, ಕೆಟ್ಟುಹೋಗು, ಆದಿ ಪರ್ವ,10,13
ಅಗಡು ಮಾಡಿದ, ದುಷ್ಟತನದಿಂದ ನಡೆದುಕೊಂಡ, ಸಭಾ ಪರ್ವ,15,47
ಅಗಣಿತ, ಲೆಕ್ಕವಿಲ್ಲದ, ಉದ್ಯೋಗ ಪರ್ವ,7,29
ಅಗಣಿತನು, ಅಪಾರಶಕ್ತನು, ಭೀಷ್ಮ ಪರ್ವ,7,12
ಅಗಧರ, ಶ್ರೀ ಕೃಷ್ಣ , ಉದ್ಯೋಗ ಪರ್ವ,1,23
ಅಗಮ್ಯ, ಪ್ರವೇಶ ಮಾಡಲಾರದ್ದು, ಆದಿ ಪರ್ವ,9,16
ಅಗರು, ಸುವಾಸನೆ ನೀಡುವ ಮರಗಳು ?, ಸಭಾ ಪರ್ವ,5,47
ಅಗರು, ಸುಗಂಧದ್ರವ್ಯ, ಆದಿ ಪರ್ವ,12,9
ಅಗಲಕ್ಕೆ, ಉದ್ದಗಲಗಳಲ್ಲಿ, ಗದಾ ಪರ್ವ,12,6
ಅಗಳು, ಕಂದಕ., ಉದ್ಯೋಗ ಪರ್ವ,7,28
ಅಗಾಧ, ಅಳವಾದ, ಆದಿ ಪರ್ವ,6,37
ಅಗಿ, ನಡುಗು, ವಿರಾಟ ಪರ್ವ,5,6
ಅಗಿ, ತೊನೆದಾಡು, ವಿರಾಟ ಪರ್ವ,6,59
ಅಗಿದು, ಹಿಮ್ಮೆಟ್ಟಿ, ಭೀಷ್ಮ ಪರ್ವ,4,11
ಅಗಿದು, ಉತ್ಸಾಹದಿಂದ , ಗದಾ ಪರ್ವ,5,36
ಅಗಿಯೆ, ಅಲ್ಲಾಡುತ್ತಿರಲು, ಭೀಷ್ಮ ಪರ್ವ,4,94
ಅಗಿವ, ಗರ್ಜಿಸುವ, ಭೀಷ್ಮ ಪರ್ವ,3,19
ಅಗಿವ, ಥಳಿಥಳಿಸುವ, ಭೀಷ್ಮ ಪರ್ವ,1,47
ಅಗುಳು, ತೋಡು, ಶಲ್ಯ ಪರ್ವ,3,44
