Pada, Artha1, Parva, Sandhi_no, Padya1
ತಲೆಮಾರಿ, ವೇಷ ಮರೆಸಿಕೊಂಡು, ವಿರಾಟ ಪರ್ವ,2,15
ತಲೆಮಾರಿಗಳು, ಸಂಬಳ ಪಡೆದು ಯುದ್ಧ ಮಾಡುವವರು, ಭೀಷ್ಮ ಪರ್ವ,7,8
ತಲೆಯ ಕೊಂಬ, ತಲೆಯನ್ನು ತೆಗೆದುಕೊಳ್ಳುವ, ಗದಾ ಪರ್ವ,10,27
ತಲೆಯಕೊಂಡನು, ಸಂಹರಿಸಿದ, ಗದಾ ಪರ್ವ,5,8
ತಲೆಯೆತ್ತಿದುದು, ಮುಂದೊತ್ತಿ ಸಾಗಿತು, ಭೀಷ್ಮ ಪರ್ವ,8,15
ತಲೆಯೊತ್ತು, ಸಮಾಧಾನಪಡಿಸು., ಕರ್ಣ ಪರ್ವ,12,19
ತಲೆಯೋಡು, ತಲೆಬುರಡೆ, ಭೀಷ್ಮ ಪರ್ವ,5,31
ತಲೆಯೋಡು, ತಲೆಯನ್ನು ಒಡೆದು ಕಪಾಲಗಳನ್ನು ಮಣ್ಣಿನ ಪಾತ್ರೆ (ಓಡು)ಯಂತೆ ಉಪಯೋಗಿಸುವುದು, ಗದಾ ಪರ್ವ,3,10
ತಲೆವರಿಗೆ, ತ¯ Éಕಾಣದಂತೆ, ದ್ರೋಣ ಪರ್ವ,6,4
ತಲೆವರಿಗೆ, ತಲೆಯಢೌಲು, ಶಲ್ಯ ಪರ್ವ,2,45
ತಲೆವರಿಗೆ, ತಲೆಗೆ ರಕ್ಷಣೆ ನೀಡುವ ಸಾಧನ, ಶಲ್ಯ ಪರ್ವ,2,43
ತಲೆವಿಡಿ, ಸೆರೆಹಿಡಿ, ಗದಾ ಪರ್ವ,4,54
ತಲೆವೆರಸಿ, ಬದುಕಿ, ದ್ರೋಣ ಪರ್ವ,5,42
ತಲ್ಲಣ, ತಳಮಳ , ಗದಾ ಪರ್ವ,8,26, , , D8B6E7E7B6D7B6, , , , , , , , , , 
ತಲ್ಲಣಿಸಿ, ಗಾಬರಿಯಿಂದ, ವಿರಾಟ ಪರ್ವ,7,49
ತವಕ, ಆತುರ , ಗದಾ ಪರ್ವ,10,22
ತವಕದಿಂದ, ಆತಂಕದಿಂದ  , ಗದಾ ಪರ್ವ,11,42
ತವಕಿಗ, ಕಾತರಪಡುತ್ತಿರುವವ., ವಿರಾಟ ಪರ್ವ,10,24
ತವಕಿಗರು, ಉತ್ಸಾಹಿಗಳು, ಸಭಾ ಪರ್ವ,2,61
ತವಕಿಸಿ, ಉತ್ಸಾಹಿಸಿ, ಭೀಷ್ಮ ಪರ್ವ,8,34
ತವಕಿಸು, ತಲ್ಲಣಗೊಳ್ಳು , ಗದಾ ಪರ್ವ,8,27
ತವಗ, ಜಗಲಿ ತಳಿ, ಅರಣ್ಯ ಪರ್ವ,18,26
ತವನಿಧಿ, ಮಹಾನಿಧಿ, ಭೀಷ್ಮ ಪರ್ವ,10,13
ತವಲಾಯಿ, ಕರ್ಪುರದ ಹಳಕುಗಳು, ಕರ್ಣ ಪರ್ವ,8,33
ತವಲಾಯಿ, ಕರ್ಪೂರದ ಬಿಲ್ಲೆ, ಆದಿ ಪರ್ವ,12,16
ತವಲಾಯಿ, ತಾಂಬೂಲ, ಸಭಾ ಪರ್ವ,15,63
ತವಿಸಿದನು, ನಿವಾರಿಸಿದನು, ಭೀಷ್ಮ ಪರ್ವ,9,44
ತವಿಸು, ವೆಚ್ಚಮಾಡು (ಬಾಣ ಪ್ರಯೋಗ ಮಾಡಿ ಅವುಗಳನ್ನು ವೆಚ್ಚ ಮಾಡುವುದು) ವಡಬಾಗ್ನಿ, ಶಲ್ಯ ಪರ್ವ,3,70
ತವಿಸುವರೆ, ನಾಶಮಾಡಲು, ಭೀಷ್ಮ ಪರ್ವ,2,21
ತಸ್ಕರ, ಕಳ್ಳ, ಆದಿ ಪರ್ವ,19,2
ತಹೆನು, ತರುತ್ತೇನೆ, ವಿರಾಟ ಪರ್ವ,5,22
ತಳ ಮೇಲು ನಿಮಿಷಕೆ ಮೇಲು ತಳ, ಕೆಳಗಿದ್ದವನು ಮೇಲಕ್ಕೆ ನಿಮಿಷ ಮಾತ್ರದಲೇ ಮೇಲಿದ್ದವನು ಕೆಳಕ್ಕೆ, ಸಭಾ ಪರ್ವ,2,100
ತಳಕಮಠ, ಭೂಮಿಯನ್ನು ಹೊತ್ತ ಕೂರ್ಮನು, ಭೀಷ್ಮ ಪರ್ವ,4,63
ತಳತಂತ್ರ, ಪದಾತಿ, ಸಭಾ ಪರ್ವ,1,49
ತಳತಂತ್ರ, ಕಾಲಾಳುಗಳ ಸೈನ್ಯ, ದ್ರೋಣ ಪರ್ವ,8,66
ತಳಪ, ಉಜ್ವಲತೆ, ವಿರಾಟ ಪರ್ವ,6,35
ತಳಪ, ಕಾಂತಿಯುಕ್ತವಾದ, ಗದಾ ಪರ್ವ,2,8
ತಳಪಟ, ನೆಲಸಮ, ದ್ರೋಣ ಪರ್ವ,2,69
ತಳಪಟ, ನೆಲಸಮ ಬಯಲಾಗುವುದು ಖೋಡಿ, ದ್ರೋಣ ಪರ್ವ,2,58
ತಳಪಟ, ರಣರಂಗದ ಬಯಲು, ಭೀಷ್ಮ ಪರ್ವ,3,5
ತಳಪಟ ಮಾಡು, ಸವರಿ ಬಯಲುಮಾಡಿ, ಭೀಷ್ಮ ಪರ್ವ,6,6
ತಳಪಟ ಮಾಡು, ನೆಲಸಮಮಾಡು, ಭೀಷ್ಮ ಪರ್ವ,8,47
ತಳಪದ, ಥಳಥಳಗುಟ್ಟುತ್ತಿರುವ, ದ್ರೋಣ ಪರ್ವ,5,13
ತಳಮಳಲು, ನೀರಿನ ತಳಭಾಗದಲ್ಲಿನ ಮರಳು, ಗದಾ ಪರ್ವ,5,2
ತಳವರಗಾಹಿ, ಊರಕಾವಲುಗಾರ, ಭೀಷ್ಮ ಪರ್ವ,1,11
ತಳವೆಳಗು, ಗಾಬರಿ , ಗದಾ ಪರ್ವ,5,33, , , D8B6EDB6E8BDEDB6CBBA, , , , , , , , , , 
ತಳವೆಳಗು, ತಲ್ಲಣ , ವಿರಾಟ ಪರ್ವ,10,12
ತಳಹತ್ತ, ಪೈಲ್ವಾನರ ಪಟ್ಟುಗಳು, ಕರ್ಣ ಪರ್ವ,19,43
ತಳಿ, ಮರದ ಕೊರಡು, ಗದಾ ಪರ್ವ,12,23
ತಳಿ, ಕಾಣಿಸು, ಆದಿ ಪರ್ವ,16,15
ತಳಿ, ಚುಮುಕಿಸು, ಗದಾ ಪರ್ವ,7,7
ತಳಿಗೆ, ಆರತಿಯ ತಟ್ಟೆ, ವಿರಾಟ ಪರ್ವ,10,48
ತಳಿಗೆ, ಹರಿವಾಣ, ಆದಿ ಪರ್ವ,18,7
ತಳಿಗೆ, ಕಟ್ಟೆ, ಸಭಾ ಪರ್ವ,1,4
ತಳಿತ, ? ತಳಿರುದೋರಣ, ಸಭಾ ಪರ್ವ,1,4
ತಳಿತ, ಸೇರಿಸಿದ, ಆದಿ ಪರ್ವ,8,68
ತಳಿತ, ಚಿಮುಕಿಸಿದ, ಶಲ್ಯ ಪರ್ವ,3,39
ತಳಿತ, ಚಿಗಿತ, ಉದ್ಯೋಗ ಪರ್ವ,7,25
ತಳಿತ, ಒತ್ತಡ, ದ್ರೋಣ ಪರ್ವ,2,57
ತಳಿತ, ಹರಡಿದ, ದ್ರೋಣ ಪರ್ವ,1,45
ತಳಿತ, ಹೊಸದಾದ, ದ್ರೋಣ ಪರ್ವ,5,13
ತಳಿತ, ಕೂಡಿದ, ಆದಿ ಪರ್ವ,13,46
ತಳಿತ, ಕೂಡಿದ, ಕರ್ಣ ಪರ್ವ,11,3
ತಳಿತ, ತಳ್ತ, ದ್ರೋಣ ಪರ್ವ,10,41
ತಳಿತ, ಚದುರಿಬಿದ್ದ, ಗದಾ ಪರ್ವ,1,41
ತಳಿತಳಿದು, ಬೊಗಸೆಯಲ್ಲಿ ಮೊಗೆದು, ಶಲ್ಯ ಪರ್ವ,1,10
ತಳಿತು, ಕಾಣು, ದ್ರೋಣ ಪರ್ವ,10,42
ತಳಿತು, ತಳ್ತು, ವಿರಾಟ ಪರ್ವ,2,23, , , D8B6EDB8D8BA, , , , , , , , , , 
ತಳಿತುದು, ರಾಶಿ ಬಿದ್ದಿತು, ಭೀಷ್ಮ ಪರ್ವ,9,13
ತಳಿತುದು, ತುಂಬಿಕೊಂಡಿತು, ದ್ರೋಣ ಪರ್ವ,5,40
ತಳಿತುದು, ಚುಮುಕಿಸಿದಂತೆ ಚೆಲ್ಲಾಪಿಲ್ಲಿಯಾಗು, ಶಲ್ಯ ಪರ್ವ,3,77
ತಳಿದವು, ಮೇಲೆ ಬಿದ್ದುವು , ಗದಾ ಪರ್ವ,11,20
ತಳಿರಹಾಸು, ಚಿಗುರಿನ ಹಾಸಿಗೆ, ವಿರಾಟ ಪರ್ವ,2,52
ತಳಿರೆಲೆ, ಚಿಗುರಿದ ಎಲೆ, ದ್ರೋಣ ಪರ್ವ,6,42
ತಳುಕಿಕ್ಕಿ, ತಳುಕು ಹಾಕಿಕೊಂಡು, ಗದಾ ಪರ್ವ,8,42
ತಳುಕು, ನಿಯಮ, ಉದ್ಯೋಗ ಪರ್ವ,9,63
ತಳುಕು, ವೈಯಾರ, ಅರಣ್ಯ ಪರ್ವ,21,4, , , D8B6EDBAC9BA, , , , , , , , , , 
ತಳುಕು, ಆಲಂಗಿಸು, ಕರ್ಣ ಪರ್ವ,19,83
ತಳುವದೆ, ತಡಮಾಡದೆ, ಆದಿ ಪರ್ವ,13,8
ತಳುವಿಲ್ಲದೆ, ತಡಮಾಡದೆ, ವಿರಾಟ ಪರ್ವ,3,40
ತಳೆ, ಬಂಧಿಸು, ವಿರಾಟ ಪರ್ವ,2,7
ತಳೋದರಿ, ತೆಳುವಾದ ಹೊಟ್ಟೆಯುಳ್ಳವಳು, ಆದಿ ಪರ್ವ,16,13
ತಳ್ಳಂಕ, ಚಿಂತೆ, ಕರ್ಣ ಪರ್ವ,19,22
ತಳ್ಳಂಕದಲಿ, ಹೆದರಿಕೆಯಿಂದ, ಭೀಷ್ಮ ಪರ್ವ,6,36
ತಳ್ಳಬಾರು, ನಡುಗು, ಗದಾ ಪರ್ವ,8,57
ತಳ್ಳವಾರು, ತತ್ತರಿಸು À, ಕರ್ಣ ಪರ್ವ,17,48
ತಳ್ಳುವಾರಿದನು, ತತ್ತರಿಸಿ ಹೋದನು, ಭೀಷ್ಮ ಪರ್ವ,10,15
ತಳ್ಳುವಾರುವ, ಹಿಂದಕ್ಕೆ ಸರಿಯುವ (ತತ್ತರಿಸುವ), ಭೀಷ್ಮ ಪರ್ವ,8,34
ತಾಗಿಸು, ನಾಟಿಸು, ಆದಿ ಪರ್ವ,15,29
ತಾಗು, ನಾಟು, ಆದಿ ಪರ್ವ,19,40
ತಾಗು, ಪರಿಣಾಮ, ವಿರಾಟ ಪರ್ವ,8,15
ತಾಗು ಥಟ್ಟು, ನಾಡಾಡಿತನ ( ?, ಅರಣ್ಯ ಪರ್ವ,14,10
ತಾಗುಥಟ್ಟು, ಯುದ್ಧಮಾಡುವ ಶಕ್ತಿಯುತ ಸೈನ್ಯ, ಗದಾ ಪರ್ವ,4,21
ತಾಗುಥಟ್ಟು, ದೋಷ , ಗದಾ ಪರ್ವ,5,17, , ,  ಮೇಲೆಬೀಳು, D8B7CBBAD9B6D3D3BA, , , , , , , , , 
ತಾಗುಬಾಗು, ಹಿಗ್ಗುಕುಗ್ಗು, ಉದ್ಯೋಗ ಪರ್ವ,3,49
ತಾಗುವುದು, ಬಾಧಿಸುವುದು, ಭೀಷ್ಮ ಪರ್ವ,3,54
ತಾಟಂಕ, ಕಿವಿಯೋಲೆ, ಅರಣ್ಯ ಪರ್ವ,21,10
ತಾಟಿತು, ತಾಗಿತು, ಗದಾ ಪರ್ವ,7,12
ತಾಟಿಸಿದರು, ತಾಡಿಸಿದರು, ಭೀಷ್ಮ ಪರ್ವ,4,55
ತಾಣಾಂತರ, ಜಾಗಗಳು, ವಿರಾಟ ಪರ್ವ,10,67
ತಾಮರಸ, ತಾವರೆ ಹೂವು, ಸಭಾ ಪರ್ವ,1,83
ತಾಮರಸ, ತಾವರೆಹೂ, ಗದಾ ಪರ್ವ,13,17
ತಾಮರಸದಳ, ಕಮಲದ  ದಳ, ಸಭಾ ಪರ್ವ,1,22
ತಾಮಸ, ಅಜ್ಞಾನ, ಉದ್ಯೋಗ ಪರ್ವ,9,2
ತಾಮಸ, ತಾಮಸ ಬುದ್ಧಿ, ಗದಾ ಪರ್ವ,5,26
ತಾಮಸ, ತಮೋಗುಣ, ಭೀಷ್ಮ ಪರ್ವ,6,28
ತಾಮಸ, ತಡ , ವಿರಾಟ ಪರ್ವ,3,79, , , D8B7E2B6EBB6, , , , , , , , , , 
ತಾಮಸಿಕೆ, ರಾಕ್ಷಸತನ, ದ್ರೋಣ ಪರ್ವ,3,38
ತಾಮಸಿಕೆ, ತೀವ್ರತೆ, ಆದಿ ಪರ್ವ,6,0
ತಾಯಿಗಳು, ಹೆಂಗಸರು, ಗದಾ ಪರ್ವ,11,51
ತಾಯಿಗೆ ಮಕ್ಕಳಾಗದೆ, ತಾಯಿಗೆ ಅವಮಾನ ಮಾಡುವ ಮಕ್ಕಳಾದರು, ಕರ್ಣ ಪರ್ವ,24,18
ತಾಯಿಮಳಲು, ಸಮುದ್ರದ ಅಡಿಯಲ್ಲಿರುವ ಮಳಲು, ಶಲ್ಯ ಪರ್ವ,2,13
ತಾಯ್ಮಳಲ, ತಳದ ಮರಳು, ಭೀಷ್ಮ ಪರ್ವ,9,10
ತಾರಕೆ, ಕೊನೆ ಮುಟ್ಟಿಸುವವನು, ಕರ್ಣ ಪರ್ವ,20,27
ತಾರಾನಿವಹ, ನಕ್ಷತ್ರರಾಶಿ, ವಿರಾಟ ಪರ್ವ,2,5
ತಾರಾವಳಿ, ನಕ್ಷತ್ರಗಳ ಸಮೂಹ, ಉದ್ಯೋಗ ಪರ್ವ,9,60
ತಾರು, ಬೆಂದು ಹೋಗು, ವಿರಾಟ ಪರ್ವ,2,15
ತಾರು, ಸೊರಗು, ಅರಣ್ಯ ಪರ್ವ,21,52
ತಾರು, ಬತ್ತಿಹೋಗು, ಆದಿ ಪರ್ವ,19,38
ತಾರು, ಆಯಾಸ , ಗದಾ ಪರ್ವ,7,13
ತಾರು, ಒಣಗು., ಕರ್ಣ ಪರ್ವ,6,12
ತಾರುತಟ್ಟು, ಚಲ್ಲಾಪಿಲ್ಲಿ, ಕರ್ಣ ಪರ್ವ,11,15
ತಾರುಥಟ್ಟು, ಚಲ್ಲಾಪಿಲ್ಲಿ, ವಿರಾಟ ಪರ್ವ,4,49
ತಾರೆಉದಿರೆ, ಉಲ್ಕಾಪಾತವಾದಂತೆ, ಭೀಷ್ಮ ಪರ್ವ,4,50
ತಾರ್ಕಿಕರು, ತರ್ಕವನ್ನು ಮಾಡುವರು, ಉದ್ಯೋಗ ಪರ್ವ,8,9
ತಾವಕರ, ನಮ್ಮವರ, ಭೀಷ್ಮ ಪರ್ವ,5,4
ತಾವರೆಯ ಸಖ, ಕಮಲಮಿತ್ರ, ದ್ರೋಣ ಪರ್ವ,4,12
ತಾಳ ಹಳವಿಗೆ, ತಾಳವೃಕ್ಷದ ಬಾವುಟ, ಭೀಷ್ಮ ಪರ್ವ,9,41
ತಾಳಧ್ವಜ, ತಾಳವೃಕ್ಷದ ಸಂಕೇತವುಳ್ಳ ಧ್ವಜ, ಭೀಷ್ಮ ಪರ್ವ,6,11
ತಾಳಪತ್ರ, ತಾಳೆಗರಿ, ಭೀಷ್ಮ ಪರ್ವ,8,4
ತಾಳವೃಂತ, ತಾಳೆಗರಿಯಿಂದ ಮಾಡಿದ ಬೀಸಣಿಗೆ, ಗದಾ ಪರ್ವ,11,10
ತಾಳಹಳವಿಗೆ, ತಾಳೆಯಮರದ ಧ್ವಜಚಿಹ್ನೆಯುಳ್ಳವನು, ಗದಾ ಪರ್ವ,6,8
ತಾಳಿಗೆ, ಬಾಯಿ (ಅಂಗುಳ) ತುತ್ತಾದವೇ, ಭೀಷ್ಮ ಪರ್ವ,6,12
ತಾಳಿಗೆ, ನಾಲಗೆ , ಗದಾ ಪರ್ವ,7,7
ತಾಳಿಗೆ, ನಾಲಿಗೆ, ಆದಿ ಪರ್ವ,8,34
ತಾಳಿಗೆ, ಕಂಠ (ನಾಲಿಗೆ) ತಾಳಿಗೆ, ವಿರಾಟ ಪರ್ವ,5,6
ತಾಳಿಗೆಗಡಿ, ಗಂಟಲ ವರೆಗೆÉ, ವಿರಾಟ ಪರ್ವ,7,19
ತಾಳಿಗೆಯ ತಲ್ಲಣ, ಮಾತಿನ ಆರ್ಭಟ, ದ್ರೋಣ ಪರ್ವ,13,14
ತಾಳು, ಸಹಿಸು, ಆದಿ ಪರ್ವ,8,29
ತಾಳು ಬಾಗಿಲ ಕುತ್ತರಲಿ, ? ಮೇಲೆ ನಿಷಧಾಚಲದ ಸುತ್ತಲು ಧಾಳಿ ಹರಿದುದು, ಸಭಾ ಪರ್ವ,3,38
ತಿಂಥಿಣಿ, ತಿಂತಿಣಿ (ತಿಂತ್ರಿಣೀ), ವಿರಾಟ ಪರ್ವ,4,30
ತಿಗಡಲು, ತೀಡಲು, ಭೀಷ್ಮ ಪರ್ವ,2,4
ತಿಗುರ ತಿದ್ದು, ಸುಗಂಧ ದ್ರವ್ಯವನ್ನು ಲೇಪಿಸು, ವಿರಾಟ ಪರ್ವ,3,60
ತಿಗುರು, ಸುಗಂಧದ್ರವ್ಯವನ್ನು ಲೇಪಿಸುವುದು , ಗದಾ ಪರ್ವ,5,40
ತಿಗುರು, ಪರಿಮಳ ದ್ರವ್ಯ ., ಅರಣ್ಯ ಪರ್ವ,8,3
ತಿಗುರು ಏರಿದ, ಸುಗಂಧದ್ರವ್ಯ ಬಳಿದ, ಭೀಷ್ಮ ಪರ್ವ,3,8
ತಿಗುಳ ರಾವುತರು, ತಮಿಳುನಾಡಿನ ಕುದುರೆ ಸವಾರರು, ಭೀಷ್ಮ ಪರ್ವ,4,68
ತಿದ್ದಿ, ನಾಶಮಾಡಿ, ದ್ರೋಣ ಪರ್ವ,2,44
ತಿದ್ದಿಕೊಡು, ಹಿಂದಿರುಗಿಸು, ಕರ್ಣ ಪರ್ವ,2,19
ತಿದ್ದಿದರು, ತೀರಿಸಿದರು, ಭೀಷ್ಮ ಪರ್ವ,6,10
ತಿದ್ದು, ಸರಿಪಡಿಸು , ಗದಾ ಪರ್ವ,7,32
ತಿದ್ದು, ತಿರುಗಿಸು., ವಿರಾಟ ಪರ್ವ,2,23
ತಿಮಿರ, ಅಂಧಕಾರ, ಆದಿ ಪರ್ವ,4,53
ತಿಮಿರದ ಹೊರಳಿ, ಕತ್ತಲ ಸಮೂಹ, ವಿರಾಟ ಪರ್ವ,1,24
ತಿಮಿರಾಂಶುಕೆಯರು, ಕತ್ತಲು ಕವಿದವರು, ಗದಾ ಪರ್ವ,11,29
ತಿರಿ, ಬೇಡು, ಆದಿ ಪರ್ವ,15,41
ತಿರಿ, ತಿರುಚು, ವಿರಾಟ ಪರ್ವ,3,37
ತಿರಿಕಲ್ಲು, <ತಿ¾Âಕಲ್, ವಿರಾಟ ಪರ್ವ,8,73
ತಿರಿದ, ಭಿಕ್ಷೆ ಬೇಡಿದ, ಆದಿ ಪರ್ವ,10,5
ತಿರಿದು, ಬೇಡಿ, ಆದಿ ಪರ್ವ,10,15
ತಿರಿಭುವನ, ಮೂರು ಲೋಕ ತ್ರೈಭುವನ, ವಿರಾಟ ಪರ್ವ,8,41
ತಿರಿಭುವನ ವಿದ್ಯಾ ಚಕ್ರವರ್ತಿ, ಮೂರುಲೋಕದ ವಿದ್ಯಾ ಸಾರ್ವಭೌಮ. ಅಂದರೆ ಮೂರು ಲೋಕಗಳಲ್ಲೂ ವಿದ್ಯಾ ಪರಿಣತಿ ಉಳ್ಳವರು. ಮೇಗರೆ ಮೆರೆವ, ವಿರಾಟ ಪರ್ವ,8,41
ತಿರು, ಹಗ್ಗ (ಬಿಲ್ಲಹಗ್ಗ), ವಿರಾಟ ಪರ್ವ,8,42
ತಿರುಕುಳಿ, ತಿರುಪೆ ಎತ್ತುವ ಜನ, ವಿರಾಟ ಪರ್ವ,3,29
ತಿರುಕುಳಿ, ತಿರುಪೆಯವ, ಆದಿ ಪರ್ವ,15,39
ತಿರುಗಿ, ಅಲೆದಾಡಿ, ಆದಿ ಪರ್ವ,10,15
ತಿರುಗಿದರು, ಹಿಂದಿರುಗಿದರು, ಗದಾ ಪರ್ವ,11,26
ತಿರುಗುತ್ತ ಇಟ್ಟಣಿಸಿ, ಸುತ್ತ ಮುತ್ತ ಸುತ್ತಿ ತಿರುಗುತ್ತ, ಭೀಷ್ಮ ಪರ್ವ,5,7
ತಿರುಗುವ ನಗಕೆ, ಮಂದರ ಪರ್ವತಕ್ಕೆ, ಭೀಷ್ಮ ಪರ್ವ,3,82
ತಿರುಪಿನಲಿ ಅಣೆದು, ಸುತ್ತುತ್ತ ತಿವಿಯುತ್ತಾ, ಭೀಷ್ಮ ಪರ್ವ,4,23
ತಿರುಪು, ಕೊಪ್ಪು, ಕರ್ಣ ಪರ್ವ,24,51
ತಿರುವಾಯ್‍ಗೊಳಿಸು, ಹೆದೆಯೇರಿಸು, ದ್ರೋಣ ಪರ್ವ,18,64
ತಿರುವಿಗೆ, ಬಿಲ್ಲಿಗೆ, ದ್ರೋಣ ಪರ್ವ,3,21
ತಿರುವು, ಬಿಲ್ಲಿನ ಹೆದೆ, ಗದಾ ಪರ್ವ,1,34
ತಿರುವು, ಬಿಲ್ಲಿನಹೆದೆ, ಗದಾ ಪರ್ವ,9,19
ತಿರುಹಿ, ಬಾಣಹೂಡಿ, ಭೀಷ್ಮ ಪರ್ವ,9,48
ತಿರೋಹಿತ, ಮಾಯವಾಗು, ಗದಾ ಪರ್ವ,9,25
ತಿರ್ಯಕ್, ಪ್ರಾಣಿವರ್ಗ, ಭೀಷ್ಮ ಪರ್ವ,3,56
ತಿಲ, ಎಳ್ಳು, ಆದಿ ಪರ್ವ,15,21
ತಿಲಕ, ಒಂದು ಜಾತಿಯ ಮರ, ಅರಣ್ಯ ಪರ್ವ,18,13
ತಿಲಕ, ಹಣೆಯಲ್ಲಿಡುವ ಬೊಟ್ಟು, ಆದಿ ಪರ್ವ,13,2
ತಿವಿ, ಎದುರಿಸು , ಗದಾ ಪರ್ವ,3,31
ತಿವಿಗುಳು, ಹೊಡೆದಾಟ, ಸಭಾ ಪರ್ವ,2,106
ತಿವಿಗುಳು, ತಿವಿತ, ಗದಾ ಪರ್ವ,7,35
ತಿವಿದವು, ಹಬ್ಬಿತು, ಭೀಷ್ಮ ಪರ್ವ,8,7
ತಿವಿವ, ಮುತ್ತುವ , ಗದಾ ಪರ್ವ,2,32
ತಿಳಿದುದು, ಎಚ್ಚರವಾದುದು, ಆದಿ ಪರ್ವ,10,23
ತಿಳಿಯಲಿ, ಶಮನವಾಗಲಿ , ಗದಾ ಪರ್ವ,11,65
ತಿಳಿಹಿ, ತಿಳಿಯಹೇಳಿ, ಗದಾ ಪರ್ವ,11,36
ತಿಳುಹಲು, ತಿಳಿಯ ಹೇಳಲು, ಭೀಷ್ಮ ಪರ್ವ,3,30
ತಿಳುಹಿ, ಸಮಾಧಾನ ಹೇಳಿ, ಗದಾ ಪರ್ವ,11,71
ತಿಳುಹಿ, ತಿದ್ದಿ, ಗದಾ ಪರ್ವ,8,35
ತಿಳುಹಿ, ತಿಳುವಳಿಕೆ ಹೇಳಿ, ಗದಾ ಪರ್ವ,12,25
ತಿಳುಹು, ಬುದ್ದಿಹೇಳು, ಗದಾ ಪರ್ವ,11,0
ತಿಳುಹು, ತಿಳಿವು, ಆದಿ ಪರ್ವ,5,24
ತೀಡು, ಬೀಸು, ದ್ರೋಣ ಪರ್ವ,16,4
ತೀದ, ಮುಗಿಸಿದ, ಭೀಷ್ಮ ಪರ್ವ,7,22
ತೀದುದು, ಸಾವನ್ನಪ್ಪಿತು, ಭೀಷ್ಮ ಪರ್ವ,7,22
ತೀದುದು, ಮುಗಿದುದು, ಭೀಷ್ಮ ಪರ್ವ,6,47
ತೀನಿಗೆ, ಆಹಾರಕ್ಕೆ, ಗದಾ ಪರ್ವ,3,12
ತೀರಿತಿದು, ಪೂರ್ಣವಾಯಿತು, ಗದಾ ಪರ್ವ,9,24
ತೀರಿತÀು, ಮುಗಿಯಿತು, ಗದಾ ಪರ್ವ,10,25
ತೀರಿಸಿ, ಕೊಂದು, ಉದ್ಯೋಗ ಪರ್ವ,10,20
ತೀರುವವನಲ್ಲ, ಸಾಯುವವನಲ್ಲ, ದ್ರೋಣ ಪರ್ವ,3,54
ತೀರ್ಥ, ತೀರ್ಥಯಾತ್ರೆ, ಆದಿ ಪರ್ವ,20,15
ತೀರ್ಥಾಭಿರತಿ, ತೀx, ಗದಾ ಪರ್ವ,6,10
ತೀವಿ, ಎಳೆದು, ಭೀಷ್ಮ ಪರ್ವ,9,49
ತುಂಗ, ಎತ್ತರವಾದ, ದ್ರೋಣ ಪರ್ವ,2,78
ತುಂಗವಿಕ್ರಮ, ಅತಿಬಲಶಾಲಿ, ಗದಾ ಪರ್ವ,6,11
ತುಂಗವಿಕ್ರಮನು, ಪರಾಕ್ರಮಶಾಲಿ, ಭೀಷ್ಮ ಪರ್ವ,6,25
ತುಂಡ, ಪಕ್ಷಿಯ ಕೊಕ್ಕು, ಗದಾ ಪರ್ವ,2,28
ತುಂಡ, ಮೂತಿ, ದ್ರೋಣ ಪರ್ವ,17,14
ತುಂಬಲು, ವ್ಯಾಪಿಸಲು, ಆದಿ ಪರ್ವ,8,22
ತುಂಬು, ಪೂರ್ಣವಾಗು, ಆದಿ ಪರ್ವ,11,1
ತುಂಬುರ, ಕಾಡು ಮಾವಿನ ಮರ, ಅರಣ್ಯ ಪರ್ವ,18,36
ತುಂಬುರು, ತೂಪುರ, ಅರಣ್ಯ ಪರ್ವ,3,3
ತುಟ್ಟಿಸು, ಶಕ್ತಿಹೀನವಾಗು, ಅರಣ್ಯ ಪರ್ವ,13,48
ತುಟ್ಟಿಸು, ನಾಶವಾಗು, ಸಭಾ ಪರ್ವ,14,85
ತುಡುಕಲು, ಎದುರಿಸಲು, ದ್ರೋಣ ಪರ್ವ,6,48
ತುಡುಕಿ, ಚೆಲ್ಲಾಡಿ, ಭೀಷ್ಮ ಪರ್ವ,4,85
ತುಡುಕಿದನು, ಹಿಡಿದನು., ದ್ರೋಣ ಪರ್ವ,2,33
ತುಡುಕಿದರು, ಸಾಗಿದರು, ಭೀಷ್ಮ ಪರ್ವ,5,8
ತುಡುಕು, ಹಿಡಿ , ವಿರಾಟ ಪರ್ವ,2,0, , , D8BAD5BAC9BA, , , , , , , , , , 
ತುಡುಕು, ವೇಗವಾಗಿ ಬಂದು ಹಿಡಿ , ಗದಾ ಪರ್ವ,7,40, , , D8BAD5BAC9BA, , , , , , , , , , 
ತುಡುಕು, ಆಕ್ರಮಿಸು , ಶಲ್ಯ ಪರ್ವ,2,41
ತುಡುಕು, ತಾಗು, ಗದಾ ಪರ್ವ,9,23
ತುಡುಕು, ತೆಗೆದುಕೋ, ಗದಾ ಪರ್ವ,5,43, , , D8BAD5BAC9BA, , , , , , , , , , 
ತುತಿಸು, ಸ್ತುತಿಸು, ಸಭಾ ಪರ್ವ,9,42
ತುತಿಸು, ಸ್ತೋತ್ರಮಾಡು, ಸಭಾ ಪರ್ವ,10,18
